uri	wikilink	description
norssi_3667	https://fi.wikipedia.org/wiki?curid=766752	"""Juho Olavi Helo (29. marraskuuta 1914 Helsinki – 19. joulukuuta 1939 Impilahti) oli suomalainen pesäpalloilija ja jääkiekkoilija.
Helon..."""
norssi_2588	https://fi.wikipedia.org/wiki?curid=314538	"""Tapio Felix Hiisivaara (16. kesäkuuta 1907, Helsinki – 25. joulukuuta 1971, Helsinki) oli suomalainen toimittaja, kirjailija ja kääntäjä...."""
norssi_900	https://fi.wikipedia.org/wiki?curid=1036620	"""Kaarlo Thorsten Oskar Hildén (28. syyskuuta 1893 Helsinki – 15. heinäkuuta 1960 Helsinki) oli suomalainen maantieteilijä ja antropologi. Maantieteilijänä..."""
norssi_3421	https://fi.wikipedia.org/wiki?curid=1119742	"""Osmo Hiltunen (s. 11. toukokuuta 1918 Helsinki) on suomalainen juristi. Hän oli Korkeimman oikeuden jäsen 1978
Hiltunen suoritti ylemmän..."""
norssi_3767	https://fi.wikipedia.org/wiki?curid=1119750	"""Paavo Oskar Hiltunen (2. kesäkuuta 1923 – 31. elokuuta 2013) oli suomalainen juristi, hovioikeudenneuvos ja evankelista.
Hiltunen valmistui..."""
norssi_3456	https://fi.wikipedia.org/wiki?curid=1015634	"""Pekka Hintikka (19. kesäkuuta 1920 Jyväskylä – 24. helmikuuta 2016 Jyväskylä) oli suomalainen matemaatikko, tietokirjailija ja historiantutkija..."""
norssi_131	https://fi.wikipedia.org/wiki?curid=1070454	"""Taavi (David) Hirn (16. toukokuuta 1874 Kärkölä – 12. elokuuta 1951 Kärkölä) oli suomalainen kemisti, insinööri ja professori. Hän oli Polyteknillisen..."""
norssi_1475	https://fi.wikipedia.org/wiki?curid=86207	"""Uuno Ilmari Hirvonen (24. joulukuuta 1898 Rautu – 26. kesäkuuta 1971 Helsinki) oli suomalainen kirjailija, joka tunnetaan paremmin kirjailijanimellään..."""
norssi_5820	https://fi.wikipedia.org/wiki?curid=1120103	"""Jorma Ilmari Hirvonen (s. 27. syyskuuta 1938 Sortavala) on suomalainen lääkäri. Hän oli Oulun yliopiston oikeuslääketieteen professori vuodesta..."""
norssi_1474	https://fi.wikipedia.org/wiki?curid=1120130	"""Otto Lauri Mikael Hjelt (4. syyskuuta 1900 Tuusula –3. lokakuuta 1972) oli suomalainen diplomaatti, koulutukseltaan filosofian maisteri...."""
norssi_2797	https://fi.wikipedia.org/wiki?curid=367417	"""Klaus Ben Holma (3. huhtikuuta 1914 Hämeenlinna – 9. marraskuuta 1944 Helsinki) oli suomalainen taidehistorioitsija ja kirjailija...."""
norssi_3095	https://fi.wikipedia.org/wiki?curid=1122179	"""Osmo Eero Huhtamo (5. marraskuuta 1916 Helsinki – 29. toukokuuta 1999 Helsinki) oli suomalainen tekniikan tutkija. Hän oli Teknillisen korkeakoulun..."""
norssi_6504	https://fi.wikipedia.org/wiki?curid=17624	"""Eero Lauri Juhana Huovinen (s. 27. lokakuuta 1944 Helsinki) on Suomen evankelis-luterilaisen kirkon Helsingin hiippakunnan emerituspiispa...."""
norssi_5904	https://fi.wikipedia.org/wiki?curid=955737	"""Jussi Kalervo Huttunen (s. 27. elokuuta 1941 Helsinki) on suomalainen lääkäri ja professori. Hän oli Kansanterveyslaitoksen (KTL) pääjohtaja..."""
norssi_7196	https://fi.wikipedia.org/wiki?curid=363657	"""Harri Tapani Hyttinen (13. helmikuuta 1952 Hyvinkää – 9. toukokuuta 2006 Helsinki) oli suomalainen näyttelijä.
Hyttinen muutti Helsinkiin..."""
norssi_2390	https://fi.wikipedia.org/wiki?curid=449546	"""Klaus Olavi Hytönen (1909–20. kesäkuuta 1979) oli suomalainen lintutieteilijä.
Hytönen tarkkaili lintuja jo koulupoikana Helsingin ympäristössä..."""
norssi_9661	https://fi.wikipedia.org/wiki?curid=44630	"""Joonas Riku Kullervo Hytönen (s. 12. tammikuuta 1975) on suomalainen juontaja ja televisiotuottaja, joka on tullut tunnetuksi muun muassa televisio..."""
norssi_4108	https://fi.wikipedia.org/wiki?curid=1122380	"""Risto Ilmari Antero Hyvärinen (s. 1926) on suomalainen diplomaatti, koulutukseltaan valtiotieteen tohtori ja sotilasarvoltaan everstiluutnantti..."""
norssi_9934	https://fi.wikipedia.org/wiki?curid=802522	"""Saana Sofia Hyvärinen (s. 20. toukokuuta 1977, Helsinki) on suomalainen freelancer-näyttelijä. Hänen läpimurtoroolinsa oli elokuvassa Pieni..."""
norssi_5405	https://fi.wikipedia.org/wiki?curid=1122563	"""Matti Klaus Juhani Häkkänen (s. 21. heinäkuuta 1936) on suomalainen diplomaatti. Hän on koulutukseltaan lainopin kandidaatti. Hän on ollut suurlähettiläänä..."""
norssi_1377	https://fi.wikipedia.org/wiki?curid=583435	"""William Leonard Häkli (22. tammikuuta 1893 Hämeenlinna - 6. joulukuuta 1967) oli suomalainen jääkärieversti. Hänen vanhempansa olivat kauppias..."""
norssi_1385	https://fi.wikipedia.org/wiki?curid=567572	"""Väinö Hämeen-Anttila (sukunimi vuoteen 1906 Andelin; 24. heinäkuuta 1878 Lahti – 27. tammikuuta 1942 Hämeenlinna) oli suomalainen toimittaja..."""
