id	snimi	enimet	birth_place	birth_date	death_place	death_date					
http://ldf.fi/history/kb/p1873	Arjanne	Oskari	Mäntsälä	1888		1962
http://ldf.fi/history/histo/p4374	Armfeldt	Carl Gustaf		1666		1736					
http://ldf.fi/history/kb/p1150	Armfelt	Alexander	Riika, Riika, Latvia, Latvia	1794, 1794, 1794, 1794	Venäjä, Pietari, Venäjä, Pietari	1876, 1876, 1876, 1876
http://ldf.fi/history/histo/p2359	Armfelt	August Philip (K 1839)					
http://ldf.fi/history/histo/p2385	Armfelt	Carl Gustaf		1724		1792					
http://ldf.fi/history/kb/p1204	Armfelt	Gustaf Mauritz	Marttila	1757	Venäjä	1814
http://ldf.fi/history/histo/p2388	Armfelt	Gustaf Mauritz		1757		1814					
http://ldf.fi/history/kb/p4153	Armfelt	Johanna	Tenhola	1779	Kemiö	1846
http://ldf.fi/history/kb/p4041	Armfelt	Karl Gustaf	Venäjä	1666	Pernaja	1736
http://ldf.fi/history/histo/p3119	Armfelt	Karl Gustaf		1666		1736					
http://ldf.fi/history/kb/p4873	Arneberg-Pentti	Helmi	Norja, Oslo	1889, 1889	Helsinki, Helsinki	1981, 1981
http://ldf.fi/history/histo/p2506	Arneberg-Pentti	Helmi		1889		1981					
http://ldf.fi/history/kb/p6205	Arnell	Lars	Ruotsi, Tukholma	1781, 1781	Turku, Turku	1856, 1856
http://ldf.fi/history/kb/p3791	Arni	Paavo	Helsinki	1905	Helsinki	1969
http://ldf.fi/history/kb/p1134	Aro	Jussi	Lapua	1928	Espoo	1983
http://ldf.fi/history/kb/p1780	Aro	Kaarle	Pusula	1876	Helsinki	1958
http://ldf.fi/history/kb/p1099	Aro	Matti	Helsinki	1906	Helsinki	1991
http://ldf.fi/history/kb/p2834	Aro	Paavo	Pori	1899	Helsinki	1978
http://ldf.fi/history/histo/p3734	Aro	Pirkko Ritva (1923-)					
http://ldf.fi/history/kb/p2383	Aro	Toivo	Helsinki	1887	Helsinki	1962
http://ldf.fi/history/kb/p3036	Arokallio	Elsa	Kurkijoki	1892	Helsinki	1982
http://ldf.fi/history/kb/p5939	Arola	Atte	Akaa	1893	Kylmäkoski	1964
http://ldf.fi/history/histo/p3980	Aronen	Kaarlo Toivo		1886		1973					
http://ldf.fi/history/kb/p5700	Aronsen	Terje	Norja	1947			
http://ldf.fi/history/kb/p3299	Arpiainen	Wilhelmiina	Pieksämäki	1859	Kiina	1922
http://ldf.fi/history/kb/p4817	Arppe	Adolf Edvard	Kitee	1818	Helsinki	1894
http://ldf.fi/history/kb/p560	Arppe	Anton Wilhelm	Kitee	1789	Helsinki	1862
